energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh,TimeLimit.truncated
-2.3223579341589162,-99.68920228556117,-4.6447158683178325,-7.975136182844893,1019.4723152585234,7.975136182844893,-1.6751778637667372,4.556,False
-3.326855660776131,-95.4716167786974,-6.653711321552262,-7.637729342295792,1460.4282970922436,7.637729342295792,-1.6512437042487917,4.556,False
-3.606083835188734,-91.77690287528489,-7.212167670377468,-7.342152230022791,1583.0043174665207,7.342152230022791,-1.6324208818972756,4.556,False
-3.061195774039631,-89.43603011671607,-6.122391548079262,-7.154882409337286,1343.8085048461944,7.154882409337286,-1.6129225427943201,4.556,False
-3.596509538998502,-90.23562085721576,-7.193019077997004,-7.218849668577262,1578.801377962468,7.218849668577262,-1.6061759520654038,4.556,False
-3.569173795014072,-90.66321463528378,-7.138347590028144,-7.253057170822702,1566.801490348583,7.253057170822702,-1.6137301911656656,4.556,False
-3.291422693190672,-90.48459194383025,-6.582845386381344,-7.23876735550642,1444.8738776078453,7.23876735550642,-1.6175412159828026,4.556,False
-3.0066169295336613,-89.72478119963844,-6.013233859067323,-7.177982495971076,1319.8493983905448,7.177982495971076,-1.612487551887323,4.556,False
-3.197571976369822,-89.13365507492361,-6.395143952739644,-7.130692405993889,1403.6751432703345,7.130692405993889,-1.5923816046250368,4.556,False
-3.522636931917599,-88.84409009310008,-7.045273863835198,-7.1075272074480065,1546.3726654598765,7.1075272074480065,-1.5848178584729453,4.556,False
-3.566217867814536,-88.83122924542872,-7.132435735629072,-7.106498339634298,1565.5038928070835,7.106498339634298,-1.5908411182138995,4.556,False
-3.0811128689309237,-89.0351007446576,-6.1622257378618475,-7.122808059572607,1352.5517422874996,7.122808059572607,-1.6046524492728969,4.556,False
-3.207430311474868,-90.32992496632654,-6.414860622949736,-7.226393997306124,1408.0027706211008,7.226393997306124,-1.61667928312478,4.556,False
-2.976134208250707,-90.45504747095222,-5.952268416501414,-7.236403797676178,1306.4680457641382,7.236403797676178,-1.610145695967546,4.556,False
-3.5445211773171423,-92.05109936019895,-7.089042354634285,-7.364087948815915,1555.979445705506,7.364087948815915,-1.6111654654505756,4.556,False
-3.247496152511695,-93.10504858005586,-6.49499230502339,-7.448403886404469,1425.5909361333165,7.448403886404469,-1.6210323927847383,4.556,False
-2.977842788638952,-93.5828129935096,-5.955685577277904,-7.486625039480769,1307.2180810530956,7.486625039480769,-1.6236292662316965,4.556,False
-2.7673724871061487,-92.06591905957653,-5.534744974212297,-7.365273524766122,1214.8254991686342,7.365273524766122,-1.593311387521867,4.556,False
-2.6574508542337716,-95.04382406703394,-5.314901708467543,-7.603505925362715,1166.571928987608,7.603505925362715,-1.5677909431539252,4.556,False
-3.290778250315415,-107.18018190189275,-6.58155650063083,-8.57441455215142,1444.5909790673463,8.57441455215142,-1.6258491600296707,4.556,False
-2.9083885256179816,-105.55634301494243,-5.816777051235963,-8.444507441195395,1276.7289401308085,8.444507441195395,-1.6182981715507856,4.556,False
-3.5478397844779885,-102.97770965443802,-7.095679568955977,-8.238216772355042,1557.4362530632081,8.238216772355042,-1.634207416193596,4.556,False
-3.547956436711716,-102.88125461147857,-7.095912873423432,-8.230500368918285,1557.4874612430708,8.230500368918285,-1.6739297527729178,4.556,False
-3.037680925564958,-104.32983299463432,-6.075361851129916,-8.346386639570746,1333.48591991438,8.346386639570746,-1.7024106536376513,4.556,False
-3.585116395962681,-107.30141275807196,-7.170232791925362,-8.584113020645757,1573.7999982276913,8.584113020645757,-1.7283456031007989,4.556,False
-3.281009078367038,-107.9451881798511,-6.562018156734076,-8.635615054388088,1440.3024926984363,8.635615054388088,-1.7379491141678873,4.556,False
-3.5583454089923316,-107.34707395324857,-7.116690817984663,-8.587765916259885,1562.0480285304352,8.587765916259885,-1.737201280833052,4.556,False
-3.2861683352264586,-106.87024654300572,-6.572336670452917,-8.549619723440458,1442.567311337339,8.549619723440458,-1.7390975317583237,4.556,False
-3.5078809292783095,-106.0258853026224,-7.015761858556619,-8.482070824209792,1539.8950523609788,8.482070824209792,-1.734566857952527,4.556,False
-3.074001318296165,-106.29564343681966,-6.14800263659233,-8.503651474945572,1349.4299026761041,8.503651474945572,-1.7390335934466092,4.556,False
-3.775660032275098,-109.53355771350064,-7.551320064550196,-8.762684617080051,1657.4451414728262,8.762684617080051,-1.7599184136124932,4.556,False
-3.3427174908368675,-110.26530634901293,-6.685434981673735,-8.821224507921034,1467.3913480407673,8.821224507921034,-1.76824378352516,4.556,False
-3.2191192667409565,-109.34353265239251,-6.438238533481913,-8.747482612191401,1413.134006471008,8.747482612191401,-1.7619155913260263,4.556,False
-3.1479184923133317,-105.36106332365875,-6.295836984626663,-8.4288850658927,1381.8781792420245,8.4288850658927,-1.7237696074824533,4.556,False
-3.535124852442216,-103.82647565263159,-7.070249704884432,-8.306118052210527,1551.854632327575,8.306118052210527,-1.6994567358787263,4.556,False
-3.2442234741072205,-103.62040350091841,-6.488446948214441,-8.289632280073473,1424.1542906528623,8.289632280073473,-1.7014123452504963,4.556,False
-3.5367519918235075,-103.3138461194254,-7.073503983647015,-8.265107689554032,1552.568916516026,8.265107689554032,-1.7013398088663365,4.556,False
-3.5773561830970864,-103.563229948481,-7.154712366194173,-8.28505839587848,1570.393407856491,8.28505839587848,-1.7118980393981051,4.556,False
-3.5927273828593065,-104.69002297829047,-7.185454765718613,-8.375201838263237,1577.1410811498272,8.375201838263237,-1.7308897231555436,4.556,False
-3.3312920426142054,-106.06005592069288,-6.662584085228411,-8.48480447365543,1462.3757869245853,8.48480447365543,-1.7471976938860818,4.556,False
-3.205682338771218,-105.56482467246266,-6.411364677542436,-8.445185973797013,1407.2354428319659,8.445185973797013,-1.7422604859462387,4.556,False
-2.922081710130466,-104.31229454156244,-5.844163420260932,-8.344983563324995,1282.7399956674565,8.344983563324995,-1.725528844150768,4.556,False
-3.139794141401601,-103.15128941009333,-6.279588282803202,-8.252103152807466,1378.3117389822655,8.252103152807466,-1.6959322040268392,4.556,False
-3.0177554678462997,-101.14048943708987,-6.035510935692599,-8.09123915496719,1324.7390113460492,8.09123915496719,-1.658945973748447,4.556,False
-2.861212899989142,-102.37612309727511,-5.722425799978284,-8.190089847782009,1256.019710267402,8.190089847782009,-1.6535635372422863,4.556,False
